,location,name,price,space,latitude,longitude
0,"Lublin, Dziesiąta,  Nowy Świat 37","48,5 m2, ul. Nowy Świat, 2 Pok. BEZPOŚREDNIO",1100.0,48.5,51.224689,22.55873
1,"Lublin, Czechów Górny",Wyremontowane 2 pok. mieszkanie Chodźki blisko Um,1500.0,50,51.2636111,22.5394445
2,"Lublin,  Leszka",Atrakcyjne mieszkanie 4pokojowe,1800.0,85,51.2496532,22.48824
3,"Lublin, Czuby, Jaspisowa","Mieszkanie, 66 m², Lublin",2000.0,-1,-1.0,-1.0
4,"Lublin, LSM,  Pielgrzymia","2-pokojowe mieszkanie, Lublin Lsm, ul. Pielgrzymia",1500.0,44,-1.0,-1.0
5,"Lublin, Centrum, Szeligowskiego 8","Apart. z miejscem parking, z widokiem na Lublin",3150.0,54,-1.0,-1.0
6,"Lublin, Śródmieście,  Spokojna",Ekskluzywny apartament w centrum miasta,3300.0,93,51.2503174,22.5537375
7,"Lublin, Centrum",Mieszkanie w Centrum,400.0,28,52.0339822,23.1192263
8,"Lublin, Sławinek, Dzieci Zamojszczyzny","Mieszkanie, 16 m², Lublin",595.0,16,51.2556328,22.5126038
9,Lublin,"Kawalerka na wynajem- 700 zł/ m-c, umeblowana",700.0,21,51.250559,22.5701022
10,"Lublin, Reymonta","Kawalerka na wynajem- 700 zł/ m-c, umeblowana",700.0,17,51.2211331,22.574235
11,"Lublin, Centrum","Mieszkanie, 12 m², Lublin",800.0,12,52.0339822,23.1192263
12,"Lublin, Centrum",Mieszkanie w Centrum na długi okres,800.0,47,52.0339822,23.1192263
13,"Lublin, Tatary,  Gospodarcza",Dwupokojowe mieszkanie Lublin Tatary,900.0,34,51.2434573,22.5978698
14,"Lublin, Centrum","Mieszkanie, 16 m², Lublin",900.0,16,52.0339822,23.1192263
15,"Lublin, Śródmieście","Mieszkanie, 28 m², Lublin",1000.0,28,51.2472348,22.5555465
16,"Lublin, Sławin","Mieszkanie, 42 m², Lublin",1000.0,42,51.2716239,22.5098266
17,"Lublin, Wieniawa,  Weteranów",Do wynajęcia mieszkanie Wieniawa ul Weteranów 15,1000.0,35,51.2473973,22.540733
18,"Lublin, Ponikwoda","Mieszkanie, 27 m², Lublin",1000.0,27,51.2658578,22.5910126
19,"Lublin, Kalinowszczyzna","Mieszkanie, 48 m², Lublin",1000.0,48,51.2548082,22.5861517
20,Lublin,"Kawalerka na wynajem- 700 zł/ m-c, umeblowana",1000.0,26,51.250559,22.5701022
21,Lublin,"Kawalerka na wynajem- 700 zł/ m-c, umeblowana",1000.0,25,51.250559,22.5701022
22,"Lublin, Centrum, Aleje Racławickie","Mieszkanie, 32 m², Lublin",1000.0,32,-1.0,-1.0
23,"Lublin, Czechów Górny",Pokój w dwupokojowym mieszkaniu przy ul. Chodźki,1050.0,15,51.2636111,22.5394445
24,Lublin,"Kawalerka na wynajem- 700 zł/ m-c, umeblowana",1050.0,29,51.250559,22.5701022
25,"Lublin, w pobliżu ul. Chopina","Mieszkanie,1100zł+opłaty,3pokoje,70m2,centrum!!!",1100.0,70,-1.0,-1.0
26,"Lublin, Centrum","Mieszkanie, 23 m², Lublin",1100.0,23,52.0339822,23.1192263
27,"Lublin, Dziesiąta, Seweryna Sierpińskiego","Mieszkanie, 50 m², Lublin",1100.0,50,51.2045562,22.5736855
28,Lublin,"Kawalerka na wynajem- 700 zł/ m-c, umeblowana",1100.0,31,51.250559,22.5701022
29,"Lublin, Kalinowszczyzna, Lwowska","Mieszkanie, 35 m², Lublin",1100.0,35,51.2522527,22.5757621
30,"Lublin, Dziesiąta,  Nowy Świat 37","48,5 m2, ul. Nowy Świat, 2 Pok. BEZPOŚREDNIO",1100.0,48.5,51.224689,22.55873
31,"Lublin, Centrum","Mieszkanie, 45 m², Lublin",1150.0,45,52.0339822,23.1192263
32,"Lublin, Wieniawa, ks. Jerzego Popiełuszki",*** Nowe Budownictwo *** Blisko Centrum ***,1170.0,26,-1.0,-1.0
33,"Lublin, Śródmieście",2-pokojowe mieszkanie w ścisłym Centrum za 1200 zł,1200.0,43.66,51.2472348,22.5555465
34,"Lublin, Konstantynów, Wacława Rogińskiego","Mieszkanie, 55 m², Lublin",1200.0,55,51.2424774,22.496323
35,"Lublin, Centrum","Mieszkanie, 45 m², Lublin",1200.0,45,52.0339822,23.1192263
36,"Lublin, Ponikwoda","Mieszkanie, 60 m², Lublin",1200.0,60,51.2658578,22.5910126
37,"Lublin, Centrum, Górna","Mieszkanie, 44,66 m², Lublin",1200.0,44.66,52.0339822,23.1192263
38,"Lublin, Abramowice,  Spadochroniarzy",wynajmę mieszkanie 50 m2,1200.0,50,-1.0,-1.0
39,"Lublin, Sławinek, Jagiellońska","Mieszkanie, 55 m², Lublin",1200.0,55,51.2578287,22.5261112
40,"Lublin, Czuby, Bursztynowa","Mieszkanie, 48 m², Lublin",1200.0,48,51.2228016,22.5176387
41,"Lublin, Powstańców Śląskich","Mieszkanie na wynajem, Sławinek, Blisko Kul, 61m",1200.0,61,51.2556792,22.5293873
42,"Lublin, Wrotków, Nałkowskich","Mieszkanie, 32 m², Lublin",1200.0,32,51.1953164,22.538516
43,"Lublin, Ponikwoda","Mieszkanie, 44 m², Lublin",1200.0,44,51.2658578,22.5910126
44,"Lublin, Ponikwoda","Mieszkanie, 47 m², Lublin",1200.0,47,51.2658578,22.5910126
45,"Lublin, Sławinek",Mieszkanie*2 pokoje*80 m.*kondygnacja na Sławinku!,1200.0,80,51.2562379,22.5198078
46,"Lublin, Centrum",2 pokoje centrum!,1250.0,60,52.0339822,23.1192263
47,"Lublin, Rury, Gościnna","Mieszkanie, 34,40 m², Lublin",1250.0,34.4,51.2311072,22.5329669
48,"Lublin, Śródmieście, Czwartaków","Mieszkanie, 37 m², Lublin",1250.0,37,-1.0,-1.0
49,"Lublin, okol. Uniwersytetu Medycznego",Kawalerka przy Uniwersytecie Medycznym,1300.0,28,-1.0,-1.0
50,"Lublin, okol. Uniwersytetu Medycznego","Mieszkanie przy Um, ul. Prusa",1300.0,49,-1.0,-1.0
